gi,gj,clat,clon,n_train,days_since,chao_unseen,n_test,new_species,revisited,scarcity,staleness,priority,density,new_rate,rare_newK
201,-513,50.375,-128.125,1,23,0.0,0,0,False,1.0,0.7586206896551724,0.8793103448275862,0.0,,
201,-509,50.375,-127.125,1,1,0.0,0,0,False,1.0,0.0,0.5,0.0,,
201,-507,50.375,-126.625,75,2,10.888888888888886,9,8,True,0.010984126984126985,0.034482758620689655,0.02273344280240832,0.1761904761904762,0.8888888888888888,4.49
201,-506,50.375,-126.375,7,4,2.25,0,0,False,0.14081632653061224,0.10344827586206896,0.12213230119634061,0.014285714285714285,,
201,-505,50.375,-126.125,1,2,0.0,0,0,False,1.0,0.034482758620689655,0.5172413793103449,0.0,,
201,-503,50.375,-125.625,2,4,0.0,1,1,True,0.4988095238095238,0.10344827586206896,0.3011288998357964,0.002380952380952381,1.0,
201,-492,50.375,-122.875,7,1,21.0,2,2,True,0.14081632653061224,0.0,0.07040816326530612,0.014285714285714285,1.0,
201,-491,50.375,-122.625,5,7,4.5,0,0,False,0.1980952380952381,0.20689655172413793,0.202495894909688,0.009523809523809525,,
201,-490,50.375,-122.375,1,25,0.0,2,1,True,1.0,0.8275862068965517,0.9137931034482758,0.0,0.5,
201,-487,50.375,-121.625,1,8,0.0,3,3,True,1.0,0.2413793103448276,0.6206896551724138,0.0,1.0,
201,-486,50.375,-121.375,3,1,0.5,2,1,True,0.33174603174603173,0.0,0.16587301587301587,0.004761904761904762,0.5,
201,-484,50.375,-120.875,2,6,1.0,16,14,True,0.4988095238095238,0.1724137931034483,0.33561165845648605,0.002380952380952381,0.875,4.85
201,-483,50.375,-120.625,5,7,10.0,2,1,True,0.1980952380952381,0.20689655172413793,0.202495894909688,0.009523809523809525,0.5,
201,-482,50.375,-120.375,10,4,32.0,4,4,True,0.09785714285714286,0.10344827586206896,0.10065270935960591,0.02142857142857143,1.0,
201,-480,50.375,-119.875,2,4,1.0,0,0,False,0.4988095238095238,0.10344827586206896,0.3011288998357964,0.002380952380952381,,
201,-478,50.375,-119.375,29,1,10.125,7,5,True,0.03218390804597701,0.0,0.016091954022988506,0.06666666666666667,0.7142857142857143,3.635
201,-477,50.375,-119.125,20,3,91.0,2,2,True,0.04773809523809524,0.06896551724137931,0.05835180623973728,0.04523809523809524,1.0,
201,-476,50.375,-118.875,1,7,0.0,0,0,False,1.0,0.20689655172413793,0.603448275862069,0.0,,
201,-465,50.375,-116.125,2,5,1.0,0,0,False,0.4988095238095238,0.13793103448275862,0.31837027914614124,0.002380952380952381,,
201,-464,50.375,-115.875,12,2,6.0,6,5,True,0.08115079365079365,0.034482758620689655,0.057816776135741654,0.02619047619047619,0.8333333333333334,4.16
201,-460,50.375,-114.875,1,7,0.0,0,0,False,1.0,0.20689655172413793,0.603448275862069,0.0,,
201,-459,50.375,-114.625,1,8,0.0,3,2,True,1.0,0.2413793103448276,0.6206896551724138,0.0,0.6666666666666666,
201,-457,50.375,-114.125,1,13,0.0,0,0,False,1.0,0.41379310344827586,0.7068965517241379,0.0,,
202,-514,50.625,-128.375,3,5,0.5,1,0,True,0.33174603174603173,0.13793103448275862,0.23483853311439518,0.004761904761904762,0.0,
